giornata,team,player,position,voto,fantavoto,active,on_bench
1,TEAM DELVECCHIO23,Suzuki,P,5.0,3.0,True,False
1,TEAM DELVECCHIO23,N'Dicka,D,6.0,6.0,True,False
1,TEAM DELVECCHIO23,Mancini,D,6.0,6.0,True,False
1,TEAM DELVECCHIO23,Tomori,D,6.0,5.5,True,False
1,TEAM DELVECCHIO23,Frattesi,C,,,False,False
1,TEAM DELVECCHIO23,Konè M.,C,5.5,5.5,True,False
1,TEAM DELVECCHIO23,Saelemaekers,C,6.5,7.0,True,False
1,TEAM DELVECCHIO23,Bondo,C,5.5,5.5,True,False
1,TEAM DELVECCHIO23,Rodriguez Je.,A,5.5,5.5,True,False
1,TEAM DELVECCHIO23,Ferguson E.,A,5.5,5.5,True,False
1,TEAM DELVECCHIO23,Scamacca,A,,,False,False
1,TEAM DELVECCHIO23,De Vrij,D,,,False,True
1,TEAM DELVECCHIO23,Buongiorno,D,6.0,6.0,False,True
1,TEAM DELVECCHIO23,Bonazzoli,A,5.5,5.5,True,True
1,TEAM DELVECCHIO23,Floriani Mussolini,D,,,False,True
1,TEAM DELVECCHIO23,Ostigard,D,6.0,5.5,False,True
1,TEAM DELVECCHIO23,Payero,C,,,False,True
1,TEAM DELVECCHIO23,Pisilli,C,5.5,5.5,True,True
1,TEAM DELVECCHIO23,Dovbyk,A,,,False,True
1,TEAM DELVECCHIO23,Celik,D,,,False,True
1,TEAM DELVECCHIO23,Esposito F.P.,A,,,False,True
1,TEAM DELVECCHIO23,Corvi,P,,,False,True
1,TEAM DELVECCHIO23,Rinaldi,P,,,False,True
1,TEAM DELVECCHIO23,Ederson D.S.,C,,,False,True
1,TEAM DELVECCHIO23,Thorstvedt,C,,,False,True
1,ZDENEK ZEMAN,Di Gregorio,P,6.0,3.0,True,False
1,ZDENEK ZEMAN,Valeri,D,6.0,6.0,True,False
1,ZDENEK ZEMAN,Olivera,D,6.0,6.0,True,False
1,ZDENEK ZEMAN,Baschirotto,D,5.0,5.0,True,False
1,ZDENEK ZEMAN,Gatti,D,6.0,6.0,True,False
1,ZDENEK ZEMAN,Zerbin,C,5.5,5.5,True,False
1,ZDENEK ZEMAN,Politano,C,6.5,6.5,True,False
1,ZDENEK ZEMAN,Rovella,C,6.0,5.5,True,False
1,ZDENEK ZEMAN,Orsolini,C,5.5,5.5,True,False
1,ZDENEK ZEMAN,Castellanos,A,5.5,5.5,True,False
1,ZDENEK ZEMAN,Pinamonti,A,6.0,5.5,True,False
1,ZDENEK ZEMAN,Cancellieri,A,5.5,5.5,False,True
1,ZDENEK ZEMAN,Cutrone,A,5.0,5.0,False,True
1,ZDENEK ZEMAN,Nkunku,A,,,False,True
1,ZDENEK ZEMAN,Bernabè,C,6.5,6.5,False,True
1,ZDENEK ZEMAN,Mandragora,C,6.0,6.0,False,True
1,ZDENEK ZEMAN,Mkhitaryan,C,5.5,5.0,False,True
1,ZDENEK ZEMAN,Zhegrova,C,,,False,True
1,ZDENEK ZEMAN,Kalulu,D,5.5,5.5,False,True
1,ZDENEK ZEMAN,Joao Mario,D,,,False,True
1,ZDENEK ZEMAN,Gaspar K.,D,4.5,4.5,False,True
1,ZDENEK ZEMAN,Perin,P,,,False,True
1,ZDENEK ZEMAN,Pinsoglio,P,,,False,True
1,ZDENEK ZEMAN,Benedyczak,A,,,False,True
1,ZDENEK ZEMAN,Rrahmani,D,,,False,True
1,BUSHAOZI,Carnesecchi,P,6.0,5.0,True,False
1,BUSHAOZI,Martin,D,6.0,6.0,True,False
1,BUSHAOZI,Pezzella Giu.,D,5.5,5.5,True,False
1,BUSHAOZI,Terracciano F.,D,5.5,5.5,True,False
1,BUSHAOZI,Dumfries,D,6.0,6.0,True,False
1,BUSHAOZI,Pasalic,C,6.5,6.5,True,False
1,BUSHAOZI,Lobotka,C,6.0,6.0,True,False
1,BUSHAOZI,Thuram K.,C,7.0,10.0,True,False
1,BUSHAOZI,McTominay,C,6.5,6.5,True,False
1,BUSHAOZI,Vlahovic,A,5.0,5.0,True,False
1,BUSHAOZI,Martinez L.,A,5.0,5.0,True,False
1,BUSHAOZI,Sportiello,P,,,False,True
1,BUSHAOZI,Rossi F.,P,,,False,True
1,BUSHAOZI,Gila,D,6.5,6.5,False,True
1,BUSHAOZI,Obert,D,6.5,6.5,False,True
1,BUSHAOZI,Bianchetti,D,5.5,5.5,False,True
1,BUSHAOZI,Provstgaard,D,,,False,True
1,BUSHAOZI,Folorunsho,C,6.0,6.0,False,True
1,BUSHAOZI,Fofana Y.,C,6.0,6.0,False,True
1,BUSHAOZI,Dele-Bashiru,C,5.5,5.5,False,True
1,BUSHAOZI,Aebischer,C,5.0,5.0,False,True
1,BUSHAOZI,Sanabria,A,5.5,5.5,False,True
1,BUSHAOZI,Meister,A,6.0,6.0,False,True
1,BUSHAOZI,Lookman,A,,,False,True
1,BUSHAOZI,Arena A.,A,,,False,True
1,FC MCDONALD,Meret,P,,,False,False
1,FC MCDONALD,Zappacosta,D,,,False,False
1,FC MCDONALD,Angori,D,5.5,5.5,True,False
1,FC MCDONALD,Di Lorenzo,D,6.5,6.5,True,False
1,FC MCDONALD,Zalewski,C,7.5,11.5,True,False
1,FC MCDONALD,Prati,C,6.0,6.0,True,False
1,FC MCDONALD,Modric,C,7.5,11.5,True,False
1,FC MCDONALD,Gudmundsson A.,C,,,False,False
1,FC MCDONALD,Berardi,A,6.5,6.5,True,False
1,FC MCDONALD,David,A,6.5,7.5,True,False
1,FC MCDONALD,Openda,A,6.0,6.0,True,False
1,FC MCDONALD,Provedel,P,6.0,5.0,True,True
1,FC MCDONALD,Mandas,P,,,False,True
1,FC MCDONALD,Zemura,D,6.0,6.0,True,True
1,FC MCDONALD,Vitik,D,,,False,True
1,FC MCDONALD,Doig,D,6.0,5.5,False,True
1,FC MCDONALD,Viti,D,,,False,True
1,FC MCDONALD,Van Der Brempt,D,,,False,True
1,FC MCDONALD,Pellegrini Lo.,C,,,False,True
1,FC MCDONALD,Matic,C,6.0,5.5,True,True
1,FC MCDONALD,Deiola,C,6.0,5.5,False,True
1,FC MCDONALD,Zarraga,C,6.0,6.0,False,True
1,FC MCDONALD,Giovane,A,6.0,5.5,False,True
1,FC MCDONALD,Pedro,A,6.0,6.0,False,True
1,FC MCDONALD,Ngonge,A,6.0,7.0,False,True
1,TEAM SJ,Sommer,P,5.0,1.0,True,False
1,TEAM SJ,Hermoso,D,6.0,6.0,True,False
1,TEAM SJ,Bremer,D,7.5,9.5,True,False
1,TEAM SJ,Bastoni,D,5.5,5.5,True,False
1,TEAM SJ,Scalvini,D,7.0,10.0,True,False
1,TEAM SJ,Cristante,C,6.0,6.0,True,False
1,TEAM SJ,Tramoni M.,C,5.5,5.5,True,False
1,TEAM SJ,Vazquez,C,6.0,6.0,True,False
1,TEAM SJ,Douvikas,A,6.0,6.0,True,False
1,TEAM SJ,Davis K.,A,6.0,6.0,True,False
1,TEAM SJ,Dybala,A,5.5,5.5,True,False
1,TEAM SJ,Martinez Jo.,P,,,False,True
1,TEAM SJ,Di Gennaro,P,,,False,True
1,TEAM SJ,Kuhn,A,6.5,6.5,False,True
1,TEAM SJ,Addai,A,6.0,6.0,False,True
1,TEAM SJ,Morata,A,5.5,6.0,False,True
1,TEAM SJ,Koopmeiners,C,5.0,4.5,False,True
1,TEAM SJ,Baturina,C,,,False,True
1,TEAM SJ,Perrone,C,5.5,5.5,False,True
1,TEAM SJ,El Aynaoui,C,6.0,6.0,False,True
1,TEAM SJ,Bailey,C,,,False,True
1,TEAM SJ,Tsimikas,D,,,False,True
1,TEAM SJ,Ramon,D,5.5,4.5,False,True
1,TEAM SJ,Ghilardi,D,,,False,True
1,TEAM SJ,Barbieri,D,,,False,True
1,BATIGOAL,Maignan,P,6.0,7.0,True,False
1,BATIGOAL,Vojvoda,D,5.5,5.5,True,False
1,BATIGOAL,Canestrelli,D,5.0,5.0,True,False
1,BATIGOAL,Lovik,D,6.0,6.0,True,False
1,BATIGOAL,Wesley,D,5.0,4.5,True,False
1,BATIGOAL,Zaccagni,C,6.5,6.5,True,False
1,BATIGOAL,Atta,C,7.0,7.0,True,False
1,BATIGOAL,Da Cunha,C,6.0,6.0,True,False
1,BATIGOAL,Zambo Anguissa,C,6.5,7.5,True,False
1,BATIGOAL,Paz N.,C,7.0,10.0,True,False
1,BATIGOAL,Diao,A,,,False,False
1,BATIGOAL,Rensch,D,,,False,True
1,BATIGOAL,Cham,D,,,False,True
1,BATIGOAL,Vasquez,D,6.0,6.0,False,True
1,BATIGOAL,Norton-Cuffy,D,6.5,6.5,False,True
1,BATIGOAL,Terracciano,P,6.0,7.0,False,True
1,BATIGOAL,Torriani,P,,,False,True
1,BATIGOAL,Stanciu,C,,,False,True
1,BATIGOAL,Asllani,C,6.5,6.0,False,True
1,BATIGOAL,Iannoni,C,,,False,True
1,BATIGOAL,Leao,A,,,False,True
1,BATIGOAL,Borrelli,A,6.0,6.0,True,True
1,BATIGOAL,Colombo,A,5.0,5.0,False,True
1,BATIGOAL,Bayo V.,A,,,False,True
1,BATIGOAL,Ekhator,A,,,False,True
1,CHOWPOUROMA,Leali,P,6.5,5.5,True,False
1,CHOWPOUROMA,Tavares N.,D,5.5,5.5,True,False
1,CHOWPOUROMA,Acerbi,D,6.0,5.5,True,False
1,CHOWPOUROMA,Gabbia,D,6.5,6.5,True,False
1,CHOWPOUROMA,Estupinan,D,6.0,5.5,True,False
1,CHOWPOUROMA,Calhanoglu,C,7.5,13.5,True,False
1,CHOWPOUROMA,De Bruyne,C,7.0,9.0,True,False
1,CHOWPOUROMA,Kostic,C,,,False,False
1,CHOWPOUROMA,Dzeko,A,5.0,5.0,True,False
1,CHOWPOUROMA,Kean,A,5.5,5.5,True,False
1,CHOWPOUROMA,Soulè,A,6.5,6.5,True,False
1,CHOWPOUROMA,Siegrist,P,,,False,True
1,CHOWPOUROMA,Sommariva,P,,,False,True
1,CHOWPOUROMA,Cambiaso,D,,,False,True
1,CHOWPOUROMA,Lucumì,D,5.5,5.5,False,True
1,CHOWPOUROMA,Calabresi,D,,,False,True
1,CHOWPOUROMA,Tiago Gabriel,D,,,False,True
1,CHOWPOUROMA,Conceicao,C,,,False,True
1,CHOWPOUROMA,Volpato,C,6.0,5.5,True,True
1,CHOWPOUROMA,De Roon,C,7.0,7.0,False,True
1,CHOWPOUROMA,Dia,A,5.5,5.5,False,True
1,CHOWPOUROMA,Laurientè,A,6.0,6.0,False,True
1,CHOWPOUROMA,Berisha M.,C,,,False,True
1,CHOWPOUROMA,Buffon L.,A,,,False,True
1,CHOWPOUROMA,Ndour,C,,,False,True
1,GALLIFREY,De Gea,P,7.0,4.0,True,False
1,GALLIFREY,Angelino,D,5.5,5.0,True,False
1,GALLIFREY,Solet,D,6.5,6.5,True,False
1,GALLIFREY,Valle,D,6.0,5.5,True,False
1,GALLIFREY,El Shaarawy,C,6.0,6.0,True,False
1,GALLIFREY,Vandeputte,C,5.5,5.5,True,False
1,GALLIFREY,Barella,C,5.5,5.5,True,False
1,GALLIFREY,Pulisic,C,7.0,7.0,True,False
1,GALLIFREY,Esposito Se.,A,6.0,5.5,True,False
1,GALLIFREY,Hojlund,A,7.0,11.0,True,False
1,GALLIFREY,De Ketelaere,A,8.0,15.0,True,False
1,GALLIFREY,Lezzerini,P,,,False,True
1,GALLIFREY,Martinelli T.,P,,,False,True
1,GALLIFREY,Kelly L.,D,7.0,10.0,False,True
1,GALLIFREY,Akanji,D,6.0,6.0,False,True
1,GALLIFREY,Carlos Augusto,D,6.5,7.5,False,True
1,GALLIFREY,Lykogiannis,D,5.5,5.5,False,True
1,GALLIFREY,Miranda J.,D,5.5,5.0,False,True
1,GALLIFREY,Neres,C,6.0,6.0,False,True
1,GALLIFREY,Sucic P.,C,,,False,True
1,GALLIFREY,Frendrup,C,5.5,5.5,False,True
1,GALLIFREY,Casadei,C,6.0,6.0,False,True
1,GALLIFREY,Lucca,A,6.0,6.0,False,True
1,GALLIFREY,Bonny,A,5.5,5.5,False,True
1,GALLIFREY,Zapata D.,A,,,False,True
1,SUMMERED,Svilar,P,6.5,5.5,True,False
1,SUMMERED,Gosens,D,6.5,6.5,True,False
1,SUMMERED,Pavlovic,D,6.0,6.0,True,False
1,SUMMERED,Djimsiti,D,,,False,False
1,SUMMERED,Zortea,D,5.5,5.5,True,False
1,SUMMERED,Rabiot,C,6.5,6.5,True,False
1,SUMMERED,Locatelli,C,6.5,6.0,True,False
1,SUMMERED,Serdar,C,7.0,6.5,True,False
1,SUMMERED,Gimenez,A,5.0,5.0,True,False
1,SUMMERED,Krstovic,A,6.5,8.5,True,False
1,SUMMERED,Pellegrino M.,A,5.5,5.5,True,False
1,SUMMERED,Vasquez D.,P,,,False,True
1,SUMMERED,Gollini,P,,,False,True
1,SUMMERED,Delprato,D,5.5,5.5,True,True
1,SUMMERED,Palestra,D,6.5,6.5,False,True
1,SUMMERED,Bisseck,D,,,False,True
1,SUMMERED,Gutierrez,D,,,False,True
1,SUMMERED,Tourè I.,C,6.5,6.5,False,True
1,SUMMERED,Rowe,C,6.0,6.0,False,True
1,SUMMERED,Oristanio,C,6.0,6.0,False,True
1,SUMMERED,Carboni V.,C,6.5,6.5,False,True
1,SUMMERED,Vlasic,C,6.5,6.5,False,True
1,SUMMERED,Castro S.,A,5.5,5.5,False,True
1,SUMMERED,Vardy,A,6.0,6.0,False,True
1,SUMMERED,Stulic,A,5.5,5.5,False,True
1,HIGHRIVER,Skorupski,P,6.0,4.5,True,False
1,HIGHRIVER,Dodò,D,6.0,6.0,True,False
1,HIGHRIVER,Dimarco,D,6.5,7.5,True,False
1,HIGHRIVER,Bellanova,D,6.5,6.5,True,False
1,HIGHRIVER,Maldini,C,6.0,6.0,True,False
1,HIGHRIVER,Isaksen,C,,,False,False
1,HIGHRIVER,Loftus-Cheek,C,6.5,6.5,True,False
1,HIGHRIVER,Odgaard,C,6.0,6.0,True,False
1,HIGHRIVER,Yildiz,A,7.0,11.0,True,False
1,HIGHRIVER,Thuram,A,7.0,10.0,True,False
1,HIGHRIVER,Dominguez B.,A,,,False,False
1,HIGHRIVER,Milinkovic-Savic V.,P,5.5,4.5,False,True
1,HIGHRIVER,Ravaglia F.,P,,,False,True
1,HIGHRIVER,Luperto,D,6.5,6.5,False,True
1,HIGHRIVER,Darmian,D,,,False,True
1,HIGHRIVER,Pierotti,C,5.5,5.5,True,True
1,HIGHRIVER,Keita M.,C,,,False,True
1,HIGHRIVER,Ilkhan,C,,,False,True
1,HIGHRIVER,Adams C.,A,6.0,6.0,True,True
1,HIGHRIVER,Milik,A,,,False,True
1,HIGHRIVER,Sernicola,D,,,False,True
1,HIGHRIVER,Ndaba,D,,,False,True
2,FC MCDONALD,Meret,P,6.5,4.5,True,False
2,FC MCDONALD,Zappacosta,D,6.5,7.0,True,False
2,FC MCDONALD,Angori,D,6.5,7.5,True,False
2,FC MCDONALD,Di Lorenzo,D,5.0,5.0,True,False
2,FC MCDONALD,Zalewski,C,,,False,False
2,FC MCDONALD,Pellegrini Lo.,C,7.0,11.0,True,False
2,FC MCDONALD,Modric,C,7.0,7.0,True,False
2,FC MCDONALD,Prati,C,6.0,5.5,True,False
2,FC MCDONALD,Berardi,A,6.5,7.5,True,False
2,FC MCDONALD,David,A,6.0,6.0,True,False
2,FC MCDONALD,Giovane,A,6.0,6.0,True,False
2,FC MCDONALD,Provedel,P,6.5,5.5,False,True
2,FC MCDONALD,Mandas,P,,,False,True
2,FC MCDONALD,Zemura,D,5.0,4.5,False,True
2,FC MCDONALD,Vitik,D,6.0,6.0,False,True
2,FC MCDONALD,Doig,D,6.0,6.0,False,True
2,FC MCDONALD,Viti,D,6.0,6.0,False,True
2,FC MCDONALD,Van Der Brempt,D,,,False,True
2,FC MCDONALD,Deiola,C,6.5,6.5,True,True
2,FC MCDONALD,Zarraga,C,5.0,5.0,False,True
2,FC MCDONALD,Matic,C,5.5,5.5,False,True
2,FC MCDONALD,Gudmundsson A.,C,,,False,True
2,FC MCDONALD,Ngonge,A,,,False,True
2,FC MCDONALD,Openda,A,6.0,6.0,False,True
2,FC MCDONALD,Pedro,A,6.0,6.0,False,True
2,TEAM DELVECCHIO23,Suzuki,P,6.0,7.0,True,False
2,TEAM DELVECCHIO23,De Vrij,D,,,False,False
2,TEAM DELVECCHIO23,Buongiorno,D,6.5,6.5,True,False
2,TEAM DELVECCHIO23,Tomori,D,6.5,6.5,True,False
2,TEAM DELVECCHIO23,Frattesi,C,6.0,6.0,True,False
2,TEAM DELVECCHIO23,Konè M.,C,7.0,7.0,True,False
2,TEAM DELVECCHIO23,Saelemaekers,C,7.0,7.0,True,False
2,TEAM DELVECCHIO23,Bondo,C,6.0,6.0,True,False
2,TEAM DELVECCHIO23,Rodriguez Je.,A,6.5,6.5,True,False
2,TEAM DELVECCHIO23,Ferguson E.,A,6.0,6.0,True,False
2,TEAM DELVECCHIO23,Bonazzoli,A,,,False,False
2,TEAM DELVECCHIO23,N'Dicka,D,6.0,5.5,True,True
2,TEAM DELVECCHIO23,Mancini,D,6.0,6.0,False,True
2,TEAM DELVECCHIO23,Dovbyk,A,5.5,5.5,True,True
2,TEAM DELVECCHIO23,Floriani Mussolini,D,6.0,6.0,False,True
2,TEAM DELVECCHIO23,Pisilli,C,6.0,6.0,False,True
2,TEAM DELVECCHIO23,Payero,C,,,False,True
2,TEAM DELVECCHIO23,Celik,D,6.5,6.5,False,True
2,TEAM DELVECCHIO23,Esposito F.P.,A,6.5,6.5,False,True
2,TEAM DELVECCHIO23,Ostigard,D,6.0,5.5,False,True
2,TEAM DELVECCHIO23,Thorstvedt,C,6.0,6.0,False,True
2,TEAM DELVECCHIO23,Corvi,P,,,False,True
2,TEAM DELVECCHIO23,Rinaldi,P,,,False,True
2,TEAM DELVECCHIO23,Scamacca,A,,,False,True
2,TEAM DELVECCHIO23,Ederson D.S.,C,,,False,True
2,GALLIFREY,De Gea,P,6.0,4.0,True,False
2,GALLIFREY,Angelino,D,6.0,6.0,True,False
2,GALLIFREY,Solet,D,5.5,5.5,True,False
2,GALLIFREY,Kelly L.,D,5.5,5.0,True,False
2,GALLIFREY,Carlos Augusto,D,6.5,6.5,True,False
2,GALLIFREY,El Shaarawy,C,,,False,False
2,GALLIFREY,Neres,C,,,False,False
2,GALLIFREY,Pulisic,C,8.5,16.5,True,False
2,GALLIFREY,Sucic P.,C,7.0,8.0,True,False
2,GALLIFREY,Hojlund,A,5.5,5.5,True,False
2,GALLIFREY,Bonny,A,6.0,6.0,True,False
2,GALLIFREY,Lezzerini,P,,,False,True
2,GALLIFREY,Martinelli T.,P,,,False,True
2,GALLIFREY,Akanji,D,6.0,6.0,False,True
2,GALLIFREY,Valle,D,6.0,6.0,False,True
2,GALLIFREY,Lykogiannis,D,,,False,True
2,GALLIFREY,Miranda J.,D,5.5,5.5,False,True
2,GALLIFREY,Vandeputte,C,5.5,5.5,True,True
2,GALLIFREY,Barella,C,6.0,6.0,True,True
2,GALLIFREY,Casadei,C,5.5,5.5,False,True
2,GALLIFREY,Frendrup,C,6.0,6.0,False,True
2,GALLIFREY,Esposito Se.,A,6.5,6.0,False,True
2,GALLIFREY,Lucca,A,7.0,11.0,False,True
2,GALLIFREY,De Ketelaere,A,,,False,True
2,GALLIFREY,Zapata D.,A,5.0,3.0,False,True
2,SUMMERED,Svilar,P,6.0,7.0,True,False
2,SUMMERED,Gosens,D,5.5,5.5,True,False
2,SUMMERED,Djimsiti,D,6.0,6.0,True,False
2,SUMMERED,Bisseck,D,,,False,False
2,SUMMERED,Zortea,D,5.5,5.5,True,False
2,SUMMERED,Rabiot,C,7.0,8.0,True,False
2,SUMMERED,Locatelli,C,5.5,5.5,True,False
2,SUMMERED,Vlasic,C,5.5,5.5,True,False
2,SUMMERED,Castro S.,A,7.0,10.0,True,False
2,SUMMERED,Krstovic,A,7.5,14.5,True,False
2,SUMMERED,Stulic,A,5.0,5.0,True,False
2,SUMMERED,Vasquez D.,P,,,False,True
2,SUMMERED,Gollini,P,,,False,True
2,SUMMERED,Gutierrez,D,,,False,True
2,SUMMERED,Pavlovic,D,6.5,6.5,True,True
2,SUMMERED,Delprato,D,6.0,6.0,False,True
2,SUMMERED,Palestra,D,7.0,8.0,False,True
2,SUMMERED,Serdar,C,6.5,6.5,False,True
2,SUMMERED,Rowe,C,,,False,True
2,SUMMERED,Oristanio,C,6.0,6.0,False,True
2,SUMMERED,Tourè I.,C,,,False,True
2,SUMMERED,Carboni V.,C,5.0,4.5,False,True
2,SUMMERED,Gimenez,A,5.5,5.5,False,True
2,SUMMERED,Pellegrino M.,A,6.0,6.0,False,True
2,SUMMERED,Vardy,A,,,False,True
2,BATIGOAL,Terracciano,P,6.0,7.0,True,False
2,BATIGOAL,Vojvoda,D,5.5,5.0,True,False
2,BATIGOAL,Vasquez,D,6.0,6.0,True,False
2,BATIGOAL,Norton-Cuffy,D,5.5,5.0,True,False
2,BATIGOAL,Wesley,D,,,False,False
2,BATIGOAL,Zaccagni,C,5.5,5.5,True,False
2,BATIGOAL,Atta,C,6.0,5.5,True,False
2,BATIGOAL,Da Cunha,C,,,False,False
2,BATIGOAL,Zambo Anguissa,C,6.0,6.0,True,False
2,BATIGOAL,Paz N.,C,7.0,8.5,True,False
2,BATIGOAL,Borrelli,A,,,False,False
2,BATIGOAL,Torriani,P,,,False,True
2,BATIGOAL,Rensch,D,7.0,7.0,True,True
2,BATIGOAL,Lovik,D,,,False,True
2,BATIGOAL,Canestrelli,D,5.5,5.5,False,True
2,BATIGOAL,Stanciu,C,,,False,True
2,BATIGOAL,Asllani,C,5.0,5.0,True,True
2,BATIGOAL,Iannoni,C,,,False,True
2,BATIGOAL,Colombo,A,5.5,5.5,True,True
2,BATIGOAL,Bayo V.,A,,,False,True
2,BATIGOAL,Ekhator,A,5.5,5.5,False,True
2,CHOWPOUROMA,Leali,P,6.5,4.5,True,False
2,CHOWPOUROMA,Tavares N.,D,5.0,5.0,True,False
2,CHOWPOUROMA,Estupinan,D,6.5,6.5,True,False
2,CHOWPOUROMA,Acerbi,D,6.0,6.0,True,False
2,CHOWPOUROMA,De Bruyne,C,5.5,5.5,True,False
2,CHOWPOUROMA,Conceicao,C,7.0,10.0,True,False
2,CHOWPOUROMA,De Roon,C,6.5,6.5,True,False
2,CHOWPOUROMA,Calhanoglu,C,6.0,5.5,True,False
2,CHOWPOUROMA,Kean,A,5.5,5.5,True,False
2,CHOWPOUROMA,Dia,A,5.0,5.0,True,False
2,CHOWPOUROMA,Soulè,A,6.5,7.5,True,False
2,CHOWPOUROMA,Siegrist,P,,,False,True
2,CHOWPOUROMA,Sommariva,P,,,False,True
2,CHOWPOUROMA,Dzeko,A,6.0,6.0,False,True
2,CHOWPOUROMA,Laurientè,A,6.0,6.0,False,True
2,CHOWPOUROMA,Buffon L.,A,,,False,True
2,CHOWPOUROMA,Kostic,C,,,False,True
2,CHOWPOUROMA,Berisha M.,C,,,False,True
2,CHOWPOUROMA,Volpato,C,6.0,6.0,False,True
2,CHOWPOUROMA,Ndour,C,,,False,True
2,CHOWPOUROMA,Cambiaso,D,5.5,5.5,False,True
2,CHOWPOUROMA,Gabbia,D,6.0,6.0,False,True
2,CHOWPOUROMA,Lucumì,D,,,False,True
2,CHOWPOUROMA,Tiago Gabriel,D,6.0,8.5,False,True
2,CHOWPOUROMA,Calabresi,D,,,False,True
2,ZDENEK ZEMAN,Di Gregorio,P,6.5,5.5,True,False
2,ZDENEK ZEMAN,Olivera,D,,,False,False
2,ZDENEK ZEMAN,Rrahmani,D,,,False,False
2,ZDENEK ZEMAN,Gatti,D,6.0,5.5,True,False
2,ZDENEK ZEMAN,Politano,C,6.5,6.5,True,False
2,ZDENEK ZEMAN,Mkhitaryan,C,,,False,False
2,ZDENEK ZEMAN,Mandragora,C,7.0,10.0,True,False
2,ZDENEK ZEMAN,Zhegrova,C,,,False,False
2,ZDENEK ZEMAN,Orsolini,C,6.5,9.5,True,False
2,ZDENEK ZEMAN,Castellanos,A,6.0,6.0,True,False
2,ZDENEK ZEMAN,Nkunku,A,6.0,6.0,True,False
2,ZDENEK ZEMAN,Cutrone,A,5.5,5.5,False,True
2,ZDENEK ZEMAN,Cancellieri,A,,,False,True
2,ZDENEK ZEMAN,Pinamonti,A,6.0,6.0,False,True
2,ZDENEK ZEMAN,Bernabè,C,6.5,6.5,True,True
2,ZDENEK ZEMAN,Rovella,C,6.0,6.0,True,True
2,ZDENEK ZEMAN,Zerbin,C,5.5,5.5,False,True
2,ZDENEK ZEMAN,Joao Mario,D,5.0,5.0,True,True
2,ZDENEK ZEMAN,Valeri,D,6.0,6.0,True,True
2,ZDENEK ZEMAN,Kalulu,D,6.0,6.0,False,True
2,ZDENEK ZEMAN,Baschirotto,D,6.5,6.5,False,True
2,ZDENEK ZEMAN,Gaspar K.,D,5.5,5.5,False,True
2,ZDENEK ZEMAN,Perin,P,,,False,True
2,ZDENEK ZEMAN,Pinsoglio,P,,,False,True
2,ZDENEK ZEMAN,Benedyczak,A,,,False,True
2,TEAM SJ,Martinez Jo.,P,6.5,5.5,True,False
2,TEAM SJ,Hermoso,D,,,False,False
2,TEAM SJ,Bremer,D,,,False,False
2,TEAM SJ,Bastoni,D,,,False,False
2,TEAM SJ,Koopmeiners,C,5.5,5.0,True,False
2,TEAM SJ,Cristante,C,6.0,6.0,True,False
2,TEAM SJ,Tramoni M.,C,5.5,5.5,True,False
2,TEAM SJ,Vazquez,C,6.5,6.5,True,False
2,TEAM SJ,Morata,A,5.5,5.5,True,False
2,TEAM SJ,Davis K.,A,5.5,5.5,True,False
2,TEAM SJ,Kuhn,A,6.0,6.0,True,False
2,TEAM SJ,Sommer,P,,,False,True
2,TEAM SJ,Di Gennaro,P,,,False,True
2,TEAM SJ,Douvikas,A,5.5,5.5,False,True
2,TEAM SJ,Addai,A,7.0,11.0,False,True
2,TEAM SJ,Dybala,A,,,False,True
2,TEAM SJ,Baturina,C,,,False,True
2,TEAM SJ,El Aynaoui,C,,,False,True
2,TEAM SJ,Perrone,C,6.0,6.0,False,True
2,TEAM SJ,Bailey,C,,,False,True
2,TEAM SJ,Tsimikas,D,,,False,True
2,TEAM SJ,Ghilardi,D,,,False,True
2,TEAM SJ,Barbieri,D,,,False,True
2,TEAM SJ,Scalvini,D,,,False,True
2,TEAM SJ,Ramon,D,,,False,True
2,HIGHRIVER,Skorupski,P,6.5,5.5,True,False
2,HIGHRIVER,Dodò,D,5.5,5.0,True,False
2,HIGHRIVER,Dimarco,D,7.0,9.5,True,False
2,HIGHRIVER,Bellanova,D,6.5,6.5,True,False
2,HIGHRIVER,Maldini,C,,,False,False
2,HIGHRIVER,Isaksen,C,,,False,False
2,HIGHRIVER,Loftus-Cheek,C,6.5,6.5,True,False
2,HIGHRIVER,Odgaard,C,,,False,False
2,HIGHRIVER,Yildiz,A,6.0,6.0,True,False
2,HIGHRIVER,Thuram,A,6.0,6.0,True,False
2,HIGHRIVER,Dominguez B.,A,5.5,5.5,True,False
2,HIGHRIVER,Milinkovic-Savic V.,P,,,False,True
2,HIGHRIVER,Ravaglia F.,P,,,False,True
2,HIGHRIVER,Luperto,D,5.5,5.5,False,True
2,HIGHRIVER,Darmian,D,,,False,True
2,HIGHRIVER,Pierotti,C,6.0,6.0,True,True
2,HIGHRIVER,Keita M.,C,6.0,6.0,True,True
2,HIGHRIVER,Ilkhan,C,,,False,True
2,HIGHRIVER,Adams C.,A,5.5,5.5,False,True
2,HIGHRIVER,Milik,A,,,False,True
2,HIGHRIVER,Sernicola,D,,,False,True
2,HIGHRIVER,Ndaba,D,5.5,5.5,False,True
2,BUSHAOZI,Carnesecchi,P,7.0,10.0,True,False
2,BUSHAOZI,Martin,D,6.0,6.0,True,False
